id,object_id,cog_x,cog_y,cog_z,weight,mat,assieme,end1,end2,nested,object_type,subasm,locazione,t,length,length2,incr1,incr2,idn,costr,block,type
534156,7fc01667-b99b-4b1a-b366-0494c5176f7c,11995,1013,613,0.3,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,330,14146,BL02,THK10
534167,39984de7-893c-4b81-a356-bf732a3ed69d,5996,-3935,4225,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,323,14146,BL02,THK7
534178,c8dbab75-c2d8-42ed-9ecf-82d27916a2b0,13503,3341,1792,94.3,AH36,B50,-,-,false,part,G01,FR_13.5,FLAT,0,-,0,0,227,14146,BL02,THK7
534190,78de048c-10eb-44b9-a97b-e9bda15a1a15,12837,-4062,1890,248.6,AH36,D01,-,-,false,part,G01,SHELL,BENT UNREGULAR,0,-,0,0,7012,14146,BL02,THK15
534204,197653ad-f3ab-4318-a7e8-0f23e6ec9d07,10042,-3285,4639,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,314,14146,BL02,THK6
534215,4260f2d3-1833-4708-bf96-340b0739a4e3,8254,-4232,3718,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,863,14146,BL02,FB60x5
534225,a90aff67-efd5-4ebf-be5b-045eb7bfc351,11754,-4251,2948,1,AH36,D01,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,880,14146,BL02,FB60x5
534241,921a4add-3ff6-4570-aa16-dd384ce3226b,9754,-4243,3648,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,866,14146,BL02,FB60x5
534232,efb28cb1-756f-4cca-8f21-0f6474e18176,10754,-4249,3648,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,868,14146,BL02,FB60x5
534240,cb6c18f1-8f34-4c5d-b88b-ed2c4e4461de,6754,4218,3718,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,578,14146,BL02,FB60x5
